method,policy,checkpoint,repeat,average_query_shots,low_shots,high_shots,offline_quantum_shots,weight_low,weight_high,mae_F_e,rmse_F_e,bias_F_e,pearson
adaptive_hybrid,random,bidir_seed1,0,64,32,96,8192,0.520602566953851,0.9008203782554824,0.0584457779027329,0.07406002494786702,0.007819374777046858,0.9293458729070909
adaptive_dfe,random,bidir_seed1,0,64,32,96,0,,,0.07310697604734549,0.0946143093869781,0.00025706107742966137,0.9016356654367045
adaptive_hybrid,width,bidir_seed1,0,64,32,96,8192,0.40270164432785105,0.7034992901264681,0.05420339717633604,0.07160154020354197,0.012708882212402515,0.9348216141184738
adaptive_dfe,width,bidir_seed1,0,64,32,96,0,,,0.07098237506641202,0.09159433356814269,0.00013305314092172478,0.9088555974081396
adaptive_hybrid,disagreement,bidir_seed1,0,64,32,96,8192,0.27222448358883167,0.8114452832131254,0.053681908674113904,0.07037834035545341,0.008931936192051414,0.9358264413519228
adaptive_dfe,disagreement,bidir_seed1,0,64,32,96,0,,,0.06867625334462713,0.0885138152009702,-0.0005593245045809207,0.9119824655745785
adaptive_hybrid,combined,bidir_seed1,0,64,32,96,8192,0.43726933237401255,0.7612752270812155,0.0516193832147239,0.06680432348574,0.00872079527648762,0.9424531202453161
adaptive_dfe,combined,bidir_seed1,0,64,32,96,0,,,0.06819658394947294,0.08752737517368431,0.002618378868434952,0.9145356050293371
fixed_hybrid,fixed,bidir_seed1,1,32,32,32,6144,0.3624069911913286,0.3624069911913286,0.06702724478501539,0.0863239720278266,0.008520639480737445,0.9019144345217727
adaptive_hybrid,random,bidir_seed1,1,32,16,48,6144,0.16288696626004975,0.8225415674873109,0.06959453681758289,0.09109880093442545,0.007564307939165193,0.8896444309034873
adaptive_dfe,random,bidir_seed1,1,32,16,48,0,,,0.10071479300377033,0.13062471987745994,0.004680010812879396,0.8336464307005728
adaptive_hybrid,width,bidir_seed1,1,32,16,48,6144,0.16824546535955748,0.4842156836547342,0.0652571526567932,0.08705515869089643,0.009437487220539215,0.9011773506757461
adaptive_dfe,width,bidir_seed1,1,32,16,48,0,,,0.1017938116226572,0.13069336263489198,0.0019725041991227803,0.8429603948268695
adaptive_hybrid,disagreement,bidir_seed1,1,32,16,48,6144,0.30672625271922516,0.3604134028930512,0.06929812039198018,0.08987943021162972,0.008569166229713382,0.8928780725383512
adaptive_dfe,disagreement,bidir_seed1,1,32,16,48,0,,,0.09305698202156694,0.11760191918449364,-5.295876384018158e-05,0.854645559076826
adaptive_hybrid,combined,bidir_seed1,1,32,16,48,6144,0.06005891329372211,0.6159551773043115,0.0633751155804496,0.08127903037938904,0.003850510414818936,0.9137561855102192
adaptive_dfe,combined,bidir_seed1,1,32,16,48,0,,,0.09307981954909683,0.11842993010494045,0.004917692691186273,0.8602335232401691
fixed_hybrid,fixed,bidir_seed1,1,64,64,64,8192,0.6926934567489549,0.6926934567489549,0.052985089829791984,0.06605692069395963,0.0046235413505317825,0.9430983211483763
adaptive_hybrid,random,bidir_seed1,1,64,32,96,8192,0.405251982686685,0.8007655555425659,0.05596614134436199,0.07248310043783068,0.007166856713792471,0.9313588063200501
adaptive_dfe,random,bidir_seed1,1,64,32,96,0,,,0.07157717817943425,0.09281076931807779,0.0026028778763714606,0.9057245098669459
adaptive_hybrid,width,bidir_seed1,1,64,32,96,8192,0.5123136827605057,0.7180181070385573,0.05479309072276858,0.0711509596556175,0.005613421353583661,0.933745013064664
adaptive_dfe,width,bidir_seed1,1,64,32,96,0,,,0.07180301081475424,0.09417727865405516,0.000608416897535481,0.9038300952892968
adaptive_hybrid,disagreement,bidir_seed1,1,64,32,96,8192,0.5583584276312958,0.8327166683047618,0.054625621078343074,0.07003407965576842,0.003311491927883664,0.9359768103967124
adaptive_dfe,disagreement,bidir_seed1,1,64,32,96,0,,,0.0697157600107381,0.08941736498684619,0.00035006702981061385,0.9100189264723818
adaptive_hybrid,combined,bidir_seed1,1,64,32,96,8192,0.423722553699403,0.8242754028317829,0.05355180772316054,0.067843932889312,0.0025000317474452413,0.9396254192559677
adaptive_dfe,combined,bidir_seed1,1,64,32,96,0,,,0.07198080854310542,0.09188559496269592,0.002122347122403206,0.9063025649965302
