backend,n_seq,S,M,strategy,quantum_shots_per_seq,mae_F_e,std_F_e,mae_F_avg,rmse_F_e,elapsed_s_total,elapsed_ms_per_seq
length_ood,512,10,200,stratified,2000,0.011167004637420177,0.008131366506269522,0.00744466975828012,0.013813801570583152,2.2307548513635993,4.35694306906953
length_ood,512,30,200,stratified,6000,0.006677360684921344,0.005118714918766102,0.004451573789947561,0.008413583549007635,2.2242860039696097,4.344308601503144
length_ood,512,100,200,stratified,20000,0.003831722504645584,0.0030295773706666843,0.002554481669763721,0.004884714566631615,2.22424144577235,4.344221573774121
length_ood,512,300,200,stratified,60000,0.002039103195443749,0.0015585681068038173,0.0013594021302958306,0.0025665300281147974,2.2417860766872764,4.378488431029837
length_ood,512,1000,200,stratified,200000,0.0010989272833615512,0.0008634073822083234,0.0007326181889076998,0.0013975383650434178,2.2229080088436604,4.341617204772774
