base_index,length,fidelity_min,fidelity_max,ambiguity_diameter,minimax_abs_lower_bound,bayes_mae_lower_bound
0,24,0.11106828484272893,0.43322869625683386,0.3221604114141049,0.16108020570705245,0.08262664373423091
1,8,0.5573363302888179,0.6780330867901456,0.12069675650132772,0.06034837825066386,0.0320966010802308
2,24,0.07045842932155089,0.42470202441207594,0.35424359509052505,0.17712179754526253,0.09188419343776405
3,16,0.24294525998656594,0.5428118329714018,0.2998665729848359,0.14993328649241794,0.07894978856017666
4,16,0.1139573392057393,0.46512115956386857,0.35116382035812926,0.17558191017906463,0.09215379920960261
5,16,0.1027134872079945,0.4752852739125356,0.3725717867045411,0.18628589335227055,0.09734601823036891
6,24,0.3684534983091952,0.4246884022039987,0.05623490389480351,0.028117451947401756,0.015052442433768905
7,16,0.19113378294929506,0.5138201840116496,0.3226864010623546,0.1613432005311773,0.0848258537303728
8,24,0.2582034921741615,0.4143025360987056,0.1560990439245441,0.07804952196227205,0.040818896412662696
9,8,0.7634801574240548,0.8273629294806639,0.06388277205660908,0.03194138602830454,0.01699103065400923
10,8,0.6714383115892466,0.7595711468833188,0.08813283529407223,0.044066417647036116,0.023436675888454602
11,8,0.5793005167558389,0.7093252135465206,0.13002469679068163,0.06501234839534081,0.0345177858243634
12,8,0.6571418621537095,0.7494267983346281,0.0922849361809186,0.0461424680904593,0.02454554035221863
13,16,0.18441566019706637,0.5328354617121668,0.34841980151510044,0.17420990075755022,0.09121456525954977
14,24,0.11645738345157053,0.4308533689319624,0.3143959854803919,0.15719799274019594,0.08081191155549786
15,16,0.15537547957211567,0.5089652426370607,0.353589763064945,0.1767948815324725,0.09258738113669068
16,24,0.13429402674680527,0.4269870495835094,0.2926930228367042,0.1463465114183521,0.07524921558735667
17,8,0.6509716227724341,0.7524216653368649,0.1014500425644308,0.0507250212822154,0.02696201950171914
18,24,0.2253165613653181,0.3963423389299033,0.17102577756458517,0.08551288878229259,0.04487177852915028
19,24,0.270967308095193,0.39248359797751864,0.12151628988232566,0.06075814494116283,0.03213147676974434
20,16,0.1686801902937794,0.5233038692173653,0.35462367892358587,0.17731183946179294,0.09273977293298782
21,8,0.6631239494822603,0.7683455175166723,0.10522156803441207,0.052610784017206036,0.02792975066142578
22,16,0.29538980824298555,0.6063653110817613,0.31097550283877573,0.15548775141938787,0.08142079466239549
23,16,0.03922557296199289,0.3857815834230145,0.3465560104610216,0.1732780052305108,0.09085715163154338
24,16,0.31949191082369965,0.6315873751528998,0.3120954643292001,0.15604773216460005,0.08152011698469178
25,8,0.6140173579898703,0.7262506724639529,0.11223331447408258,0.05611665723704129,0.02982639300636026
26,24,0.1102037029376195,0.451270969260845,0.3410672663232255,0.17053363316161274,0.08663295197635978
27,16,0.32954570605175415,0.6148428800529174,0.2852971740011633,0.14264858700058164,0.0749104199177281
28,24,0.1145800731391664,0.3973751440085095,0.2827950708693431,0.14139753543467154,0.07379483915412481
29,24,0.43863088500438047,0.49485283651024586,0.0562219515058654,0.0281109757529327,0.013544639487617938
30,24,0.18943102645256288,0.43389378318324234,0.24446275673067946,0.12223137836533973,0.06235272384904896
31,24,0.20887051118619043,0.4290772846521861,0.22020677346599565,0.11010338673299783,0.05636294408488228
32,8,0.6371402900122529,0.7341882240816651,0.09704793406941215,0.04852396703470607,0.02580211662185369
33,16,0.09229299656106582,0.45368544845888037,0.36139245189781455,0.18069622594890727,0.09468721393842057
34,8,0.7280447774674946,0.8111422583074439,0.08309748083994928,0.04154874041997464,0.022073362092827908
35,8,0.6539435220986771,0.7491437410752897,0.09520021897661257,0.047600109488306286,0.02530722321996962
36,24,0.08773925244853639,0.4141824364828043,0.32644318403426786,0.16322159201713393,0.08442702161466133
37,16,0.26722294545694003,0.5741115237124328,0.30688857825549276,0.15344428912774638,0.08054457050259363
38,24,0.15981589788704348,0.4221146205325448,0.2622987226455013,0.13114936132275065,0.06763079101344166
39,8,0.6465197308219758,0.7440017735151965,0.0974820426932207,0.04874102134661035,0.025921581648557113
40,24,0.08076020525621658,0.44177574443769363,0.36101553918147705,0.18050776959073853,0.09293749066854513
41,8,0.7454443473515153,0.8136710159007456,0.06822666854923032,0.03411333427461516,0.01813764606841609
42,24,0.12251443509647164,0.42481470598764687,0.3023002708911752,0.1511501354455876,0.07817316599204363
43,24,0.4488249203599034,0.5840939981413802,0.1352690777814768,0.0676345388907384,0.03429062418058696
44,16,0.05319035465613667,0.41712509469129805,0.36393474003516135,0.18196737001758068,0.09530228654815175
45,16,0.13891528447184381,0.48338908921926305,0.34447380474741923,0.17223690237370962,0.09040531436905394
46,16,0.11099815543290403,0.47540361162124056,0.36440545618833653,0.18220272809416826,0.09541434529982276
47,24,0.08100239329224382,0.4415958202991528,0.360593427006909,0.1802967135034545,0.09274675930911741
48,16,0.08023834552800016,0.43622044539959687,0.3559820998715967,0.17799104993579834,0.09334796275766731
49,24,0.3574127658509419,0.42527307904561007,0.06786031319466818,0.03393015659733409,0.017606446046868417
50,8,0.6346652254041769,0.7476779269449201,0.11301270154074317,0.05650635077037158,0.030006161107165873
51,8,0.7063610677791627,0.7963991236757908,0.09003805589662806,0.04501902794831403,0.023908426884257466
52,24,0.17517069692321965,0.41995971495427376,0.2447890180310541,0.12239450901552705,0.06323429715474456
53,24,0.09878918327567962,0.4392098550735887,0.340420671797909,0.1702103358989545,0.08772071292088944
54,8,0.6085442211173294,0.7163628187234663,0.10781859760613688,0.05390929880306844,0.028672551829684267
55,24,0.42077992648279516,0.4800714239575404,0.059291497474745214,0.029645748737372607,0.012491122380168156
56,24,0.4469359788518165,0.5304852391960283,0.08354926034421178,0.04177463017210589,0.02134752142282235
57,16,0.1346357573814597,0.5067878138499438,0.37215205646848404,0.18607602823424202,0.09714387159284124
58,8,0.6534809389197695,0.7466488613414686,0.09316792242169902,0.04658396121084951,0.02478104179297458
