method,mitigation,per_query_shots,readout_error,mae_mean,mae_std,rmse_mean,weight_mean,offline_shots,runs,clean_mae,mae_penalty_vs_clean
measurement_conditioned_hybrid,calibrated_symmetric,32,0.0,0.06494998756340918,0.0008864316951787192,0.08271638692340687,0.4517762202169371,6144,25,0.06494998756340918,0.0
measurement_conditioned_hybrid,calibrated_symmetric,32,0.01,0.06588631816772539,0.0007035359448780887,0.08395828597424176,0.4570381703340844,6144,25,0.06494998756340918,0.0009363306043162073
measurement_conditioned_hybrid,calibrated_symmetric,32,0.03,0.06974935626643126,0.0019074233464148385,0.08907407474946158,0.375803671383558,6144,25,0.06494998756340918,0.004799368703022083
measurement_conditioned_hybrid,calibrated_symmetric,32,0.05,0.07123347693398067,0.0009607089007081485,0.09209419182634104,0.33258797698458886,6144,25,0.06494998756340918,0.006283489370571493
measurement_conditioned_hybrid,calibrated_symmetric,64,0.0,0.053297804782197186,0.0006984795797977753,0.06707309610547957,0.6309069152263155,8192,25,0.053297804782197186,0.0
measurement_conditioned_hybrid,calibrated_symmetric,64,0.01,0.05518588678913681,0.0012650247599669067,0.06956680342697479,0.6132703438240336,8192,25,0.053297804782197186,0.0018880820069396217
measurement_conditioned_hybrid,calibrated_symmetric,64,0.03,0.05975460898381346,0.0031407355393723497,0.07512188892322777,0.5936747480842323,8192,25,0.053297804782197186,0.006456804201616276
measurement_conditioned_hybrid,calibrated_symmetric,64,0.05,0.06226385897809829,0.00142483158619695,0.07900971596411244,0.5166083672030719,8192,25,0.053297804782197186,0.008966054195901102
measurement_conditioned_hybrid,none,32,0.0,0.06494998756340918,0.0008864316951787192,0.08271638692340687,0.4517762202169371,6144,25,0.06494998756340918,0.0
measurement_conditioned_hybrid,none,32,0.01,0.06585197925924663,0.0007961971075508077,0.08362766890415063,0.46419407486419373,6144,25,0.06494998756340918,0.000901991695837448
measurement_conditioned_hybrid,none,32,0.03,0.07031132675208636,0.0023911886655803277,0.08855189334310248,0.39240702264170757,6144,25,0.06494998756340918,0.005361339188677178
measurement_conditioned_hybrid,none,32,0.05,0.07345509920326605,0.0014894848959992827,0.09283335645736618,0.34479428566456016,6144,25,0.06494998756340918,0.008505111639856872
measurement_conditioned_hybrid,none,64,0.0,0.053297804782197186,0.0006984795797977753,0.06707309610547957,0.6309069152263155,8192,25,0.053297804782197186,0.0
measurement_conditioned_hybrid,none,64,0.01,0.054990855075007596,0.0013047736338977363,0.06915910878276182,0.6193989539598238,8192,25,0.053297804782197186,0.0016930502928104094
measurement_conditioned_hybrid,none,64,0.03,0.06088862329735394,0.003618321160650855,0.07569924654448668,0.6080518812059696,8192,25,0.053297804782197186,0.007590818515156757
measurement_conditioned_hybrid,none,64,0.05,0.06597671043110037,0.002609185308810343,0.08173888551131916,0.5162420739165601,8192,25,0.053297804782197186,0.012678905648903185
stratified_dfe,calibrated_symmetric,32,0.0,0.09080334942573534,0.000566028923693367,0.11383864780877487,1.0,0,5,0.09080334942573534,0.0
stratified_dfe,calibrated_symmetric,32,0.01,0.09492148393811853,0.0005943085232997961,0.11868731435074693,1.0,0,5,0.09080334942573534,0.004118134512383187
stratified_dfe,calibrated_symmetric,32,0.03,0.1042991457978337,0.0009281328282058751,0.13069284595889058,1.0,0,5,0.09080334942573534,0.013495796372098356
stratified_dfe,calibrated_symmetric,32,0.05,0.11275768612952479,0.0012133644503214633,0.14126630412490732,1.0,0,5,0.09080334942573534,0.021954336703789448
stratified_dfe,calibrated_symmetric,64,0.0,0.0642238928156624,0.000608969021389311,0.0806885716367362,1.0,0,5,0.0642238928156624,0.0
stratified_dfe,calibrated_symmetric,64,0.01,0.06697797441783723,0.0011611483698863304,0.08430592644199092,1.0,0,5,0.0642238928156624,0.0027540816021748293
stratified_dfe,calibrated_symmetric,64,0.03,0.07367964346897221,0.0015306694963375623,0.09245817904664978,1.0,0,5,0.0642238928156624,0.009455750653309808
stratified_dfe,calibrated_symmetric,64,0.05,0.08065345362383163,0.0015757215161664236,0.1011206778306019,1.0,0,5,0.0642238928156624,0.016429560808169222
stratified_dfe,none,32,0.0,0.09080334942573534,0.000566028923693367,0.11383864780877487,1.0,0,5,0.09080334942573534,0.0
stratified_dfe,none,32,0.01,0.09343660592973706,0.0007198273522491629,0.11690670342333227,1.0,0,5,0.09080334942573534,0.002633256504001716
stratified_dfe,none,32,0.03,0.10069653326793322,0.0006413300994989674,0.12635345097262046,1.0,0,5,0.09080334942573534,0.00989318384219788
stratified_dfe,none,32,0.05,0.10886452924792789,0.0008773824492992701,0.13687349583392217,1.0,0,5,0.09080334942573534,0.018061179822192547
stratified_dfe,none,64,0.0,0.0642238928156624,0.000608969021389311,0.0806885716367362,1.0,0,5,0.0642238928156624,0.0
stratified_dfe,none,64,0.01,0.06600704787350778,0.001121849836346757,0.0831205385223833,1.0,0,5,0.0642238928156624,0.0017831550578453759
stratified_dfe,none,64,0.03,0.07316614452986017,0.0014594108096957104,0.09191499535684104,1.0,0,5,0.0642238928156624,0.008942251714197769
stratified_dfe,none,64,0.05,0.08232886118792175,0.0016389689795282272,0.10349247027428661,1.0,0,5,0.0642238928156624,0.018104968372259347
