model,n_calib,shots_per_label,total_calibration_shots,mae_noisy_mean,mae_noisy_std,mae_exact,penalty_mean
bidir_seed0,16,16,256,0.12324073498499533,0.018984803961541247,0.09299630234517299,0.030244432639822332
bidir_seed0,16,32,512,0.09585765205365729,0.011696337906192063,0.09299630234517299,0.002861349708484287
bidir_seed0,16,64,1024,0.08718977901883773,0.003828703707231652,0.09299630234517299,-0.005806523326335258
bidir_seed0,16,128,2048,0.09355743029292184,0.005321484162578509,0.09299630234517299,0.0005611279477488518
bidir_seed0,16,512,8192,0.09263213730104995,0.0024434388467880906,0.09299630234517299,-0.00036416504412303265
bidir_seed0,32,16,512,0.10452958602222169,0.0042432152317723355,0.08852378859881133,0.016005797423410354
bidir_seed0,32,32,1024,0.09306917841063723,0.008962172450539112,0.08852378859881133,0.004545389811825904
bidir_seed0,32,64,2048,0.08674435347252117,0.0031578151300238073,0.08852378859881133,-0.0017794351262901548
bidir_seed0,32,128,4096,0.08888613278422623,0.0018490614982169206,0.08852378859881133,0.00036234418541491455
bidir_seed0,32,512,16384,0.08785621847044087,0.0008746911022515248,0.08852378859881133,-0.000667570128370451
bidir_seed0,64,16,1024,0.09157869817098813,0.0071807128905657745,0.08606220456904624,0.005516493601941885
bidir_seed0,64,32,2048,0.09045116514751779,0.005830385953505291,0.08606220456904624,0.004388960578471543
bidir_seed0,64,64,4096,0.08655090143262187,0.0024965425836377753,0.08606220456904624,0.0004886968635756273
bidir_seed0,64,128,8192,0.08492699537902003,0.0004737502767000112,0.08606220456904624,-0.0011352091900262095
bidir_seed0,64,512,32768,0.08588454140126674,0.0013931861883095793,0.08606220456904624,-0.00017766316777950985
bidir_seed0,128,16,2048,0.09156033460510152,0.006650454935553358,0.08804321046293469,0.003517124142166836
bidir_seed0,128,32,4096,0.08807663981905925,0.004238023745942511,0.08804321046293469,3.3429356124559104e-05
bidir_seed0,128,64,8192,0.08898599133387933,0.0017991311364849798,0.08804321046293469,0.0009427808709446484
bidir_seed0,128,128,16384,0.08602437774841748,0.0007682007911467072,0.08804321046293469,-0.00201883271451721
bidir_seed0,128,512,65536,0.08806926846827018,0.0006518206757984489,0.08804321046293469,2.6058005335488633e-05
bidir_seed1,16,16,256,0.12430524284583806,0.018959077018397483,0.0950429130130158,0.029262329832822252
bidir_seed1,16,32,512,0.09774844874708709,0.011922358646107425,0.0950429130130158,0.0027055357340712905
