base_index,length,fidelity_min,fidelity_max,ambiguity_diameter,minimax_abs_lower_bound,bayes_mae_lower_bound,exact_marginal_fidelity,exact_composition_grid_mae,fraction_grid_error_above_0p05
0,24,0.48082956610095223,0.6636519702857913,0.18282240418483903,0.09141120209241951,0.042780925450296096,0.7794051120115968,0.2506425160851142,1.0
1,8,0.8090447717463423,0.8554079393176925,0.04636316757135028,0.02318158378567514,0.012332527330138654,0.9564865137878301,0.12293117425627603,1.0
2,16,0.5135182970929278,0.5878453409549425,0.07432704386201461,0.037163521931007304,0.02054903142475698,0.8755421769724525,0.32912846397455264,1.0
3,16,0.5454150714226851,0.6630759584201411,0.11766088699745603,0.05883044349872801,0.03142253241629909,0.9032760980200605,0.29629098075338256,1.0
4,24,0.5619516508294151,0.6263034819454436,0.06435183111602849,0.032175915558014245,0.01229394645621919,0.8346104275295451,0.25742801867071435,1.0
5,16,0.5117496499201701,0.6248749140798882,0.11312526415971802,0.05656263207985901,0.030405679284509768,0.8827372190455289,0.3132874839545997,1.0
6,8,0.7113742493186748,0.7818364535405228,0.07046220422184801,0.035231102110924006,0.01874995593546187,0.9450695786767638,0.19663897167453198,1.0
7,16,0.5750367571690813,0.6562563953606636,0.08121963819158229,0.040609819095791144,0.022041203956955486,0.8935315050655347,0.27916493263811887,1.0
8,8,0.7749850964189147,0.8334444820358734,0.05845938561695874,0.02922969280847937,0.01553890891374247,0.9473823994496322,0.14128845828419337,1.0
9,16,0.4638338011485695,0.5618406013999644,0.09800680025139491,0.049003400125697455,0.026528258938893594,0.8608019833917799,0.34923194451829714,1.0
10,24,0.490285723131138,0.6813428226354344,0.19105709950429645,0.09552854975214822,0.045264768485759964,0.7917407685892477,0.24982726093710536,1.0
11,8,0.7220676292536883,0.7853351039571017,0.06326747470341343,0.031633737351706714,0.016837899338068132,0.9278853014325165,0.17256325221995708,1.0
12,8,0.679325030217313,0.7613347453628326,0.08200971514551958,0.04100485757275979,0.02181312196082436,0.9378686850136126,0.21520506311919968,1.0
13,16,0.4896389083119489,0.6228797414878127,0.13324083317586377,0.06662041658793189,0.03557697635497819,0.8856768287190261,0.32601019356140243,1.0
14,16,0.4857404794540016,0.5757051336517649,0.08996465419776328,0.04498232709888164,0.024395048502117284,0.8748238594058735,0.3459844134890586,1.0
15,16,0.4953027380565745,0.5789999952334905,0.08369725717691606,0.04184862858845803,0.022817519007445147,0.8676995358784833,0.33310637036605606,1.0
