backend,n_seq,S,M,strategy,quantum_shots_per_seq,mae_F_e,std_F_e,mae_F_avg,rmse_F_e,elapsed_s_total,elapsed_ms_per_seq
family_ood,1024,4,1,stratified,4,0.2818495717438054,0.1685151367715603,0.18789971449587028,0.32838473230846804,4.479095675982535,4.374116871076694
family_ood,1024,8,1,stratified,8,0.1831779799758806,0.1336343874722516,0.12211865331725373,0.22674285405085642,4.4905061991885304,4.385259960145049
family_ood,1024,16,1,stratified,16,0.13542457644507522,0.09796703073350069,0.09028305096338347,0.16714471279722456,4.464401599019766,4.35976718654274
family_ood,1024,32,1,stratified,32,0.09151202665088931,0.0668738593351531,0.061008017767259545,0.11334268429912411,4.464708123356104,4.360066526714945
family_ood,1024,64,1,stratified,64,0.06486166388640413,0.04966176146241088,0.04324110925760275,0.08169042779703298,4.460523014888167,4.355979506726726
family_ood,1024,128,1,stratified,128,0.043596137991698924,0.03361853270478587,0.029064091994465954,0.05505296530627584,4.456504054367542,4.352054740593303
family_ood,1024,256,1,stratified,256,0.03247747639397858,0.025045082644951554,0.02165165092931905,0.04101271312183442,4.456914708018303,4.352455769549124
family_ood,1024,512,1,stratified,512,0.023202850039524492,0.01804424130505994,0.015468566693016328,0.029393313767452165,4.463646010495722,4.359029307124729
family_ood,1024,1024,1,stratified,1024,0.016162067659024615,0.01223108379751318,0.010774711772683077,0.020268493823584397,4.462642980739474,4.358049785878393
