eta,model,mae_mean,mae_std,ece_mean,ece_std
0.0,fidelityno_cal,0.051842718384901273,0.001176748406029171,0.004565972222222229,0.0004964355762539195
0.0,fidelityno_raw,0.054737601429224014,0.000774103800601522,0.11270833333333333,0.0033767319270361067
0.0,mc_1000,0.008941770646746248,,,
0.0,product_bound,0.020599163626760626,,,
0.30000001192092896,fidelityno_cal,0.0671532310718774,0.001273120512634169,0.012226562499999991,0.00036943387914351657
0.30000001192092896,fidelityno_raw,0.07146328091621398,0.0011314891456192246,0.2092881944444444,0.004512767163306891
0.30000001192092896,mc_1000,0.07189884531816457,,,
0.30000001192092896,product_bound,0.051960241836522175,,,
0.6000000238418579,fidelityno_cal,0.08508832675146147,0.0009871369133707974,0.01128472222222222,0.00042442723992204735
0.6000000238418579,fidelityno_raw,0.16350001096725464,0.0015900276525553615,0.45271267361111106,0.0004996034910252411
0.6000000238418579,mc_1000,0.1777226296529728,,,
0.6000000238418579,product_bound,0.15767746078765088,,,
0.8500000238418579,fidelityno_cal,0.06533038597049504,0.00036274653302758247,0.021332465277777775,0.0010758068192660965
0.8500000238418579,fidelityno_raw,0.30821954011917113,0.0016644709655765889,0.5,0.0
0.8500000238418579,mc_1000,0.3184453782074526,,,
0.8500000238418579,product_bound,0.29789142231288196,,,
0.9900000095367432,fidelityno_cal,0.2113817544001439,0.0003798416920553335,0.005946180555555559,0.00034654339024894345
0.9900000095367432,fidelityno_raw,0.39540024399757384,0.0014818895521575678,0.45121527777777776,0.0018818995997116944
0.9900000095367432,mc_1000,0.4130616288961574,,,
0.9900000095367432,product_bound,0.3995003542960788,,,
