calibration,mae_mean,mae_std,worst_mean,bayes_mae,excess_mean,excess_std,runs
one_realised_eta_per_input,0.0902002001069377,0.0017622688290109126,0.19751787520420247,0.06001250275823709,0.030187697348700616,0.0017622688290109133,100
raw,0.3793801325415996,0.0019405407720507735,0.5086625471369044,0.06001250275823709,0.31936762978336247,0.0019405407720507735,5
