backend,n_seq,S,M,strategy,quantum_shots_per_seq,mae_F_e,std_F_e,mae_F_avg,rmse_F_e,elapsed_s_total,elapsed_ms_per_seq
id_test,512,10,200,stratified,2000,0.0068572869328781955,0.00589838839397142,0.004571524621918795,0.009045074335015649,2.228317535482347,4.352182686488959
id_test,512,30,200,stratified,6000,0.00359130515748014,0.0035132443743514396,0.0023942034383200948,0.005023978380532254,2.2192534673959017,4.3344794285076205
id_test,512,100,200,stratified,20000,0.002006714151240885,0.0018061359362185321,0.0013378094341605893,0.002699820124543563,2.21764032356441,4.331328756961739
id_test,512,300,200,stratified,60000,0.0011566535259907435,0.000988705417446675,0.0007711023506604905,0.001521639175913667,2.238118616864085,4.371325423562666
id_test,512,1000,200,stratified,200000,0.0006247176933661099,0.0005966741877317626,0.00041647846224407425,0.0008638821000055688,2.220073658041656,4.336081363362609
