split,model,seed_index,nominal_level,empirical_coverage
ID,FidelityNO (1M),2,0.5,0.501
ID,FidelityNO (1M),2,0.6,0.603
ID,FidelityNO (1M),2,0.7,0.713
ID,FidelityNO (1M),2,0.8,0.8064
ID,FidelityNO (1M),2,0.9,0.9032
ID,FidelityNO (1M),3,0.1,0.0898
ID,FidelityNO (1M),3,0.2,0.188
ID,FidelityNO (1M),3,0.3,0.2842
ID,FidelityNO (1M),3,0.4,0.392
ID,FidelityNO (1M),3,0.5,0.4974
ID,FidelityNO (1M),3,0.6,0.601
ID,FidelityNO (1M),3,0.7,0.7036
ID,FidelityNO (1M),3,0.8,0.993
ID,FidelityNO (1M),3,0.9,0.9976
ID,FidelityNO (1M),4,0.1,0.102
ID,FidelityNO (1M),4,0.2,0.1978
ID,FidelityNO (1M),4,0.3,0.3026
ID,FidelityNO (1M),4,0.4,0.4104
ID,FidelityNO (1M),4,0.5,0.4976
ID,FidelityNO (1M),4,0.6,0.6062
ID,FidelityNO (1M),4,0.7,0.7052
ID,FidelityNO (1M),4,0.8,0.994
ID,FidelityNO (1M),4,0.9,0.9966
Length OOD,FidelityNO (1M),0,0.1,1.0
Length OOD,FidelityNO (1M),0,0.2,1.0
Length OOD,FidelityNO (1M),0,0.3,1.0
Length OOD,FidelityNO (1M),0,0.4,1.0
Length OOD,FidelityNO (1M),0,0.5,1.0
Length OOD,FidelityNO (1M),0,0.6,1.0
Length OOD,FidelityNO (1M),0,0.7,1.0
Length OOD,FidelityNO (1M),0,0.8,1.0
Length OOD,FidelityNO (1M),0,0.9,1.0
Length OOD,FidelityNO (1M),1,0.1,1.0
Length OOD,FidelityNO (1M),1,0.2,1.0
Length OOD,FidelityNO (1M),1,0.3,1.0
Length OOD,FidelityNO (1M),1,0.4,1.0
Length OOD,FidelityNO (1M),1,0.5,1.0
Length OOD,FidelityNO (1M),1,0.6,1.0
Length OOD,FidelityNO (1M),1,0.7,1.0
Length OOD,FidelityNO (1M),1,0.8,1.0
Length OOD,FidelityNO (1M),1,0.9,1.0
Length OOD,FidelityNO (1M),2,0.1,1.0
Length OOD,FidelityNO (1M),2,0.2,1.0
