model,n_calib,shots_per_label,total_calibration_shots,repeat,mae_noisy_calibration,mae_exact_calibration,calibration_noise_penalty
bidir_seed1,64,64,4096,0,0.08603146505729511,0.08889471167863064,-0.0028632466213355245
bidir_seed2,64,64,4096,0,0.08365871894641562,0.08601845437757337,-0.00235973543115775
bidir_seed3,64,64,4096,0,0.08403245133244716,0.0865502101432856,-0.002517758810838433
bidir_seed4,64,64,4096,0,0.08306444424177556,0.08536095832382512,-0.002296514082049561
bidir_seed0,128,64,8192,0,0.08627595426493599,0.08804321046293469,-0.0017672561979986956
bidir_seed1,128,64,8192,0,0.08884679878075054,0.09074105885602228,-0.001894260075271742
bidir_seed2,128,64,8192,0,0.08628068592165919,0.08796645626239247,-0.001685770340733278
bidir_seed3,128,64,8192,0,0.08656963592723746,0.08834326005394762,-0.0017736241267101577
bidir_seed4,128,64,8192,0,0.0852674709567376,0.08711874052689295,-0.0018512695701553422
bidir_seed0,16,64,1024,1,0.0851966503363919,0.09299630234517299,-0.007799652008781091
bidir_seed1,16,64,1024,1,0.08676757203416692,0.0950429130130158,-0.008275340978848883
bidir_seed2,16,64,1024,1,0.08487206803902107,0.09255976679808248,-0.007687698759061404
bidir_seed3,16,64,1024,1,0.08476887220466806,0.09357931645298719,-0.00881044424831913
bidir_seed4,16,64,1024,1,0.08432947395876735,0.09212245739356438,-0.007792983434797035
bidir_seed0,32,64,2048,1,0.08422682272862687,0.08852378859881133,-0.004296965870184452
bidir_seed1,32,64,2048,1,0.08663620346474012,0.09139386858769387,-0.0047576651229537525
bidir_seed2,32,64,2048,1,0.084066469528776,0.08815827118460912,-0.004091801655833116
bidir_seed3,32,64,2048,1,0.08406503784915562,0.08811942765793149,-0.004054389808775871
bidir_seed4,32,64,2048,1,0.08359786213442616,0.08773175903834711,-0.00413389690392095
bidir_seed0,64,64,4096,1,0.08537171980530961,0.08606220456904624,-0.0006904847637366346
bidir_seed1,64,64,4096,1,0.08810422501309081,0.08889471167863064,-0.0007904866655398246
bidir_seed2,64,64,4096,1,0.08544906471335552,0.08601845437757337,-0.0005693896642178509
bidir_seed3,64,64,4096,1,0.08600786190725075,0.0865502101432856,-0.0005423482360348425
bidir_seed4,64,64,4096,1,0.08465903136641659,0.08536095832382512,-0.000701926957408533
bidir_seed0,128,64,8192,1,0.08864152176212287,0.08804321046293469,0.0005983112991881784
bidir_seed1,128,64,8192,1,0.09137858294706928,0.09074105885602228,0.0006375240910470037
bidir_seed2,128,64,8192,1,0.08861055238073225,0.08796645626239247,0.0006440961183397792
bidir_seed3,128,64,8192,1,0.08914153801347836,0.08834326005394762,0.0007982779595307465
bidir_seed4,128,64,8192,1,0.08774101808921736,0.08711874052689295,0.0006222775623244137
bidir_seed0,16,64,1024,2,0.09309557204729099,0.09299630234517299,9.926970211800168e-05
bidir_seed1,16,64,1024,2,0.09502141030348067,0.0950429130130158,-2.150270953513167e-05
bidir_seed2,16,64,1024,2,0.09258628018752471,0.09255976679808248,2.6513389442234248e-05
bidir_seed3,16,64,1024,2,0.09369868983352854,0.09357931645298719,0.00011937338054135438
bidir_seed4,16,64,1024,2,0.09231339320873912,0.09212245739356438,0.00019093581517473646
bidir_seed0,32,64,2048,2,0.09214351412048247,0.08852378859881133,0.003619725521671141
bidir_seed1,32,64,2048,2,0.09506137503865025,0.09139386858769387,0.0036675064509563843
bidir_seed2,32,64,2048,2,0.09175975933462352,0.08815827118460912,0.0036014881500144036
bidir_seed3,32,64,2048,2,0.09176709732704781,0.08811942765793149,0.003647669669116324
bidir_seed4,32,64,2048,2,0.09142947231293161,0.08773175903834711,0.0036977132745844993
bidir_seed0,64,64,4096,2,0.09008214947396888,0.08606220456904624,0.004019944904922634
bidir_seed1,64,64,4096,2,0.09285273611952806,0.08889471167863064,0.00395802444089742
bidir_seed2,64,64,4096,2,0.08988465184134083,0.08601845437757337,0.0038661974637674568
bidir_seed3,64,64,4096,2,0.09051317872296788,0.0865502101432856,0.0039629685796822856
bidir_seed4,64,64,4096,2,0.089410081045374,0.08536095832382512,0.004049122721548878
bidir_seed0,128,64,8192,2,0.08876544544192226,0.08804321046293469,0.0007222349789875737
bidir_seed1,128,64,8192,2,0.09150590457798947,0.09074105885602228,0.0007648457219671945
bidir_seed2,128,64,8192,2,0.08869237605542217,0.08796645626239247,0.0007259197930297029
bidir_seed3,128,64,8192,2,0.08898939430702126,0.08834326005394762,0.000646134253073638
bidir_seed4,128,64,8192,2,0.08781673808183778,0.08711874052689295,0.000697997554944832
bidir_seed0,16,64,1024,3,0.08413977031241004,0.09299630234517299,-0.008856532032762945
bidir_seed1,16,64,1024,3,0.08667177913873553,0.0950429130130158,-0.008371133874280276
bidir_seed2,16,64,1024,3,0.08411660820094104,0.09255976679808248,-0.00844315859714144
bidir_seed3,16,64,1024,3,0.08456773644123472,0.09357931645298719,-0.009011580011752465
bidir_seed4,16,64,1024,3,0.08358214868005415,0.09212245739356438,-0.008540308713510233
bidir_seed0,32,64,2048,3,0.08479561374812485,0.08852378859881133,-0.0037281748506864804
bidir_seed1,32,64,2048,3,0.08778772293123448,0.09139386858769387,-0.003606145656459392
bidir_seed2,32,64,2048,3,0.08482347286255489,0.08815827118460912,-0.0033347983220542304
bidir_seed3,32,64,2048,3,0.08489892002024173,0.08811942765793149,-0.0032205076376897596
bidir_seed4,32,64,2048,3,0.08427847933985942,0.08773175903834711,-0.003453279698487688
bidir_seed0,64,64,4096,3,0.08796704660812042,0.08606220456904624,0.0019048420390741783
bidir_seed1,64,64,4096,3,0.09086398521147143,0.08889471167863064,0.001969273532840793
bidir_seed2,64,64,4096,3,0.08805216975794841,0.08601845437757337,0.0020337153803750424
bidir_seed3,64,64,4096,3,0.08861611657217996,0.0865502101432856,0.0020659064288943707
bidir_seed4,64,64,4096,3,0.08737350786588251,0.08536095832382512,0.0020125495420573875
bidir_seed0,128,64,8192,3,0.0904325907190784,0.08804321046293469,0.002389380256143714
bidir_seed1,128,64,8192,3,0.09305907610545816,0.09074105885602228,0.0023180172494358803
bidir_seed2,128,64,8192,3,0.09042162795267075,0.08796645626239247,0.002455171690278285
bidir_seed3,128,64,8192,3,0.09072416574253735,0.08834326005394762,0.0023809056885897295
bidir_seed4,128,64,8192,3,0.08950883852271554,0.08711874052689295,0.0023900979958225987
bidir_seed0,16,64,1024,4,0.08451008572766334,0.09299630234517299,-0.008486216617509645
bidir_seed1,16,64,1024,4,0.08658078053109142,0.0950429130130158,-0.008462132481924386
bidir_seed2,16,64,1024,4,0.08436632791439717,0.09255976679808248,-0.008193438883685303
bidir_seed3,16,64,1024,4,0.0848842365295646,0.09357931645298719,-0.008695079923422583
bidir_seed4,16,64,1024,4,0.08392697759677159,0.09212245739356438,-0.00819547979679279
bidir_seed0,32,64,2048,4,0.0865656237590381,0.08852378859881133,-0.0019581648397732215
bidir_seed1,32,64,2048,4,0.08937691955953987,0.09139386858769387,-0.002016949028153997
bidir_seed2,32,64,2048,4,0.08634516118672961,0.08815827118460912,-0.0018131099978795084
bidir_seed3,32,64,2048,4,0.08636922596235044,0.08811942765793149,-0.001750201695581044
bidir_seed4,32,64,2048,4,0.08589477301529755,0.08773175903834711,-0.001836986023049561
bidir_seed0,64,64,4096,4,0.08565814345727203,0.08606220456904624,-0.0004040611117742121
bidir_seed1,64,64,4096,4,0.08835519778979016,0.08889471167863064,-0.0005395138888404788
bidir_seed2,64,64,4096,4,0.085716043334594,0.08601845437757337,-0.0003024110429793725
bidir_seed3,64,64,4096,4,0.08619464262125334,0.0865502101432856,-0.00035556752203225184
bidir_seed4,64,64,4096,4,0.08502734308957174,0.08536095832382512,-0.000333615234253376
bidir_seed0,128,64,8192,4,0.09081444448133716,0.08804321046293469,0.0027712340184024714
bidir_seed1,128,64,8192,4,0.09345350121339717,0.09074105885602228,0.002712442357374889
bidir_seed2,128,64,8192,4,0.09072882046461778,0.08796645626239247,0.002762364202225309
bidir_seed3,128,64,8192,4,0.09094068603221676,0.08834326005394762,0.0025974259782691467
bidir_seed4,128,64,8192,4,0.0899273785864279,0.08711874052689295,0.0028086380595349486
bidir_seed0,16,128,2048,0,0.09104645815901459,0.09299630234517299,-0.0019498441861584004
bidir_seed1,16,128,2048,0,0.09276934151707517,0.0950429130130158,-0.002273571495940638
bidir_seed2,16,128,2048,0,0.09048935883617154,0.09255976679808248,-0.002070407961910936
bidir_seed3,16,128,2048,0,0.09148559942256912,0.09357931645298719,-0.0020937170304180658
bidir_seed4,16,128,2048,0,0.09005190633717851,0.09212245739356438,-0.002070551056385872
bidir_seed0,32,128,4096,0,0.0916342765597266,0.08852378859881133,0.003110487960915273
bidir_seed1,32,128,4096,0,0.09413580560347133,0.09139386858769387,0.0027419370157774625
