length,n_base,ambiguity_diameter_mean,minimax_abs_lower_bound_mean,bayes_mae_lower_bound_mean,exact_composition_grid_mae_mean
8,346,0.06170868239673425,0.030854341198367125,0.016415453586463624,0.16535736100245305
16,322,0.09999569689217326,0.04999784844608663,0.026920577746183977,0.3151444398323294
24,356,0.1371528076233395,0.06857640381166975,0.03067348670984405,0.26343453607109374
