backend,n_seq,S,M,strategy,quantum_shots_per_seq,mae_F_e,std_F_e,mae_F_avg,rmse_F_e,elapsed_s_total,elapsed_ms_per_seq
family_ood,512,10,200,stratified,2000,0.011608683125581594,0.00914442200304213,0.007739122083721064,0.01477775279533001,2.2376237362623215,4.370358859887347
family_ood,512,30,200,stratified,6000,0.006548624205170198,0.005131054526834398,0.004365749470113464,0.008319386968875096,2.2293802071362734,4.354258217063034
family_ood,512,100,200,stratified,20000,0.003792106858221815,0.0028686478503583386,0.0025280712388145426,0.004754914816643768,2.225507978349924,4.3466952702146955
family_ood,512,300,200,stratified,60000,0.002089143194832531,0.0015516888212579062,0.0013927621298883554,0.002602356141371089,2.2489913078024983,4.392561148051755
family_ood,512,1000,200,stratified,200000,0.001083032739358023,0.00085068194908162,0.0007220218262386787,0.0013771781631345477,2.2253092164173722,4.34630706331518
