metric,mean,std_across_checkpoints
pearson_r,0.8145568609237671,0.004689667214091199
spearman_rho,0.7104477456237899,0.002327444855909923
kendall_tau,0.5338260853294946,0.0018751837118846657
lowest_5pct_overlap,0.1521951219512195,0.02165106441089965
highest_5pct_overlap,0.7892682926829269,0.004081268422117446
lowest_10pct_overlap,0.144390243902439,0.012364674981108856
highest_10pct_overlap,0.8580487804878049,0.0036176577985832536
lowest_20pct_overlap,0.24932844932844933,0.01143446619628147
highest_20pct_overlap,0.8935286935286936,0.0015919908193413005
