method,prior,checkpoint,calibration,repeat,n_calib,n_test,per_query_shots,offline_quantum_shots,fusion_weight,mean_oracle_dfe_sigma,mae_F_e,rmse_F_e,bias_F_e,pearson
measurement_conditioned_hybrid,bidir_affine,bidir_seed0,finite_64shot_labels,3,64,4032,64,8192,0.6820727009352473,,0.0533774025959519,0.06707863248591225,0.008789221295972082,0.9419764721264308
measurement_conditioned_hybrid,bidir_affine,bidir_seed0,finite_64shot_labels,3,64,4032,96,10240,0.6836818718742919,,0.04609194059021776,0.05810731616594009,0.0070659402518460715,0.9573409323289912
measurement_conditioned_hybrid,bidir_affine,bidir_seed0,finite_64shot_labels,3,64,4032,128,12288,0.789663103898339,,0.04041419401957063,0.05056321685634931,0.00555079539913972,0.9673345239773865
marginal_only_prior,bidir_affine,bidir_seed1,finite_64shot_labels,3,64,4032,0,4096,0.0,,0.08938634788648527,0.12101990893417326,0.029567196270800438,0.8063439617604998
measurement_conditioned_hybrid,bidir_affine,bidir_seed1,finite_64shot_labels,3,64,4032,4,4352,0.0843029580449861,,0.08507873631072367,0.11386644453393842,0.02689240757386169,0.8305341937602841
measurement_conditioned_hybrid,bidir_affine,bidir_seed1,finite_64shot_labels,3,64,4032,8,4608,0.16537975986130996,,0.08138801461951517,0.10815815350770694,0.024340487699947556,0.8476242076013406
measurement_conditioned_hybrid,bidir_affine,bidir_seed1,finite_64shot_labels,3,64,4032,16,5120,0.3379936680626011,,0.07533385077472314,0.09725502810677443,0.019168067871764307,0.8767036330393028
measurement_conditioned_hybrid,bidir_affine,bidir_seed1,finite_64shot_labels,3,64,4032,32,6144,0.4078630413338695,,0.06667115289776417,0.08629086985504955,0.01875700838869951,0.9066903369854593
measurement_conditioned_hybrid,bidir_affine,bidir_seed1,finite_64shot_labels,3,64,4032,48,7168,0.427511284857467,,0.061428606762400244,0.07967584897697419,0.016886574136840877,0.9223441616021879
measurement_conditioned_hybrid,bidir_affine,bidir_seed1,finite_64shot_labels,3,64,4032,64,8192,0.6829609656759088,,0.05379133855027721,0.06760550557565159,0.009501878458755723,0.9412180516139641
measurement_conditioned_hybrid,bidir_affine,bidir_seed1,finite_64shot_labels,3,64,4032,96,10240,0.6863493361137489,,0.04648496556782917,0.05862608574769781,0.007716031854689368,0.9567511877252405
measurement_conditioned_hybrid,bidir_affine,bidir_seed1,finite_64shot_labels,3,64,4032,128,12288,0.7913383640777175,,0.04066612741212251,0.05086196565683457,0.0059896327828221265,0.9670228367915742
marginal_only_prior,bidir_affine,bidir_seed2,finite_64shot_labels,3,64,4032,0,4096,0.0,,0.08660413604835883,0.11764302762850845,0.027415504376424052,0.8170118334643706
measurement_conditioned_hybrid,bidir_affine,bidir_seed2,finite_64shot_labels,3,64,4032,4,4352,0.0818091768513708,,0.08270787126117217,0.11096824741714012,0.02499586723499805,0.8388516374394236
measurement_conditioned_hybrid,bidir_affine,bidir_seed2,finite_64shot_labels,3,64,4032,8,4608,0.15873690911964833,,0.07932178298459855,0.10566974489989073,0.02274029125451031,0.8543865189383105
measurement_conditioned_hybrid,bidir_affine,bidir_seed2,finite_64shot_labels,3,64,4032,16,5120,0.3312119986470276,,0.07382379947423298,0.09541238007634001,0.01793769532236019,0.88114815536448
measurement_conditioned_hybrid,bidir_affine,bidir_seed2,finite_64shot_labels,3,64,4032,32,6144,0.4006924937601845,,0.06555246283509827,0.08481272416171878,0.017657534745293007,0.9094682990202411
measurement_conditioned_hybrid,bidir_affine,bidir_seed2,finite_64shot_labels,3,64,4032,48,7168,0.41938664600383974,,0.06050904613005422,0.07845248658718607,0.015878261991625203,0.9242183277079202
measurement_conditioned_hybrid,bidir_affine,bidir_seed2,finite_64shot_labels,3,64,4032,64,8192,0.6816426111480849,,0.053351513339329235,0.06705774999694497,0.008855604556205349,0.9420207302425223
measurement_conditioned_hybrid,bidir_affine,bidir_seed2,finite_64shot_labels,3,64,4032,96,10240,0.6826067009512794,,0.04602916418883121,0.05808926566902604,0.007152252781334143,0.9573441448123772
measurement_conditioned_hybrid,bidir_affine,bidir_seed2,finite_64shot_labels,3,64,4032,128,12288,0.7883289733164677,,0.040388132840690136,0.05055091559060694,0.005623845367441816,0.9673565196097567
marginal_only_prior,bidir_affine,bidir_seed3,finite_64shot_labels,3,64,4032,0,4096,0.0,,0.08743867763785945,0.11804820298091785,0.026631842349365133,0.8153198809872295
measurement_conditioned_hybrid,bidir_affine,bidir_seed3,finite_64shot_labels,3,64,4032,4,4352,0.09175998101455961,,0.0832826794917306,0.11096341282879946,0.023989803085546515,0.838450961175805
measurement_conditioned_hybrid,bidir_affine,bidir_seed3,finite_64shot_labels,3,64,4032,8,4608,0.16786285227481046,,0.07993424083907931,0.10577618375881448,0.021819394307285477,0.8536767595841255
measurement_conditioned_hybrid,bidir_affine,bidir_seed3,finite_64shot_labels,3,64,4032,16,5120,0.344920724270714,,0.07433097552551593,0.09558920398532036,0.017032052030078813,0.8802064369690968
measurement_conditioned_hybrid,bidir_affine,bidir_seed3,finite_64shot_labels,3,64,4032,32,6144,0.41550977933717,,0.06560896692591447,0.08449893965074734,0.016838650099314463,0.9099262045430585
measurement_conditioned_hybrid,bidir_affine,bidir_seed3,finite_64shot_labels,3,64,4032,48,7168,0.4351806408877604,,0.06041209781093098,0.07779291162359964,0.015001144881196485,0.925467793199704
measurement_conditioned_hybrid,bidir_affine,bidir_seed3,finite_64shot_labels,3,64,4032,64,8192,0.697309940754051,,0.05349615586673676,0.06719968367208097,0.008191804701872354,0.9415933199659383
measurement_conditioned_hybrid,bidir_affine,bidir_seed3,finite_64shot_labels,3,64,4032,96,10240,0.6977762371258327,,0.04592009795683576,0.05787393759021553,0.006465102220470827,0.9574793140805467
measurement_conditioned_hybrid,bidir_affine,bidir_seed3,finite_64shot_labels,3,64,4032,128,12288,0.8074043032902454,,0.040383768139773554,0.05056507544910054,0.004945618961523855,0.9671981038052672
marginal_only_prior,bidir_affine,bidir_seed4,finite_64shot_labels,3,64,4032,0,4096,0.0,,0.08663632059737836,0.1174015523757337,0.027227828542483873,0.8179940679468163
measurement_conditioned_hybrid,bidir_affine,bidir_seed4,finite_64shot_labels,3,64,4032,4,4352,0.08292685437589244,,0.08262472209090169,0.11071565192941121,0.024790697668704426,0.8397883859147837
measurement_conditioned_hybrid,bidir_affine,bidir_seed4,finite_64shot_labels,3,64,4032,8,4608,0.15888915738055118,,0.07926928490373636,0.10550497096480099,0.02257795097006004,0.8549902274615921
measurement_conditioned_hybrid,bidir_affine,bidir_seed4,finite_64shot_labels,3,64,4032,16,5120,0.33402107605623366,,0.07385086235628383,0.0953423246789639,0.01773232391513925,0.8812635030469597
measurement_conditioned_hybrid,bidir_affine,bidir_seed4,finite_64shot_labels,3,64,4032,32,6144,0.403903963891653,,0.06539380879734792,0.0845891885123701,0.01746745375125267,0.9100081831123353
measurement_conditioned_hybrid,bidir_affine,bidir_seed4,finite_64shot_labels,3,64,4032,48,7168,0.42182156512621233,,0.06035001681069003,0.0781780843098073,0.015702767735766364,0.9249067905171774
measurement_conditioned_hybrid,bidir_affine,bidir_seed4,finite_64shot_labels,3,64,4032,64,8192,0.6826636875299957,,0.05327474009326688,0.06696089751784709,0.00876824612946496,0.942182493292573
measurement_conditioned_hybrid,bidir_affine,bidir_seed4,finite_64shot_labels,3,64,4032,96,10240,0.6850632476369999,,0.045986763780540625,0.05796888528531303,0.007020223917379871,0.9575216064002164
measurement_conditioned_hybrid,bidir_affine,bidir_seed4,finite_64shot_labels,3,64,4032,128,12288,0.7923143615810806,,0.04032290423705386,0.05048760192484002,0.005474700304849569,0.9674111695201969
stratified_dfe,none,none,none,4,0,4032,4,0,1.0,0.3207695375009817,0.2764900275949566,0.32448037273362146,-0.00017696670034811612,0.5131144092058348
stratified_dfe,none,none,none,4,0,4032,8,0,1.0,0.2268183151650167,0.1834396210458455,0.22575926205183353,-0.002099089716221132,0.6563651303771327
stratified_dfe,none,none,none,4,0,4032,16,0,1.0,0.16038476875049085,0.1295048118890485,0.161666769000143,-0.001169030192411608,0.7758749345779302
stratified_dfe,none,none,none,4,0,4032,32,0,1.0,0.11340915758250834,0.09076827508027828,0.11389353872348347,0.0009701067123502966,0.8692897058781748
stratified_dfe,none,none,none,4,0,4032,48,0,1.0,0.09259818941201176,0.07348156771770427,0.09255460081154027,-0.0023471055892370094,0.9075188291043731
stratified_dfe,none,none,none,4,0,4032,64,0,1.0,0.08019238437524542,0.06412212520519951,0.08092476853080348,-1.4206283681449436e-05,0.9249255224066867
stratified_dfe,none,none,none,4,0,4032,96,0,1.0,0.06547680765882988,0.05252024347748528,0.06615890236856824,-0.0018614078379142539,0.9491369989668669
stratified_dfe,none,none,none,4,0,4032,128,0,1.0,0.05670457879125417,0.04579731869503915,0.05779470235772749,0.0011677443611598204,0.9599057812390959
marginal_only_prior,exact_marginal_affine,none,exact_labels,4,64,4032,0,0,0.0,,0.11013336908409539,0.13503190492487138,0.008519630542162662,0.7378089223588842
measurement_conditioned_hybrid,exact_marginal_affine,none,exact_labels,4,64,4032,4,256,0.16839137833426313,,0.10097382432537236,0.12477219860254629,0.007055198545678331,0.7793187706735829
measurement_conditioned_hybrid,exact_marginal_affine,none,exact_labels,4,64,4032,8,512,0.2214244812190963,,0.09458566947996477,0.11693473204767385,0.006168385917739322,0.8116078289473517
measurement_conditioned_hybrid,exact_marginal_affine,none,exact_labels,4,64,4032,16,1024,0.41269698688398393,,0.08332859453982495,0.10344780966839465,0.004521149450062698,0.8538962619728353
measurement_conditioned_hybrid,exact_marginal_affine,none,exact_labels,4,64,4032,32,2048,0.5599799099442372,,0.0700935920585038,0.0872283779356303,0.0042920488678224655,0.898660422271028
measurement_conditioned_hybrid,exact_marginal_affine,none,exact_labels,4,64,4032,48,3072,0.7057417047911854,,0.06092485826237029,0.07596646721760379,0.0008505216592726933,0.9235268345087524
measurement_conditioned_hybrid,exact_marginal_affine,none,exact_labels,4,64,4032,64,4096,0.7736887569476388,,0.055528406606898464,0.0698212262640991,0.0019170969363813553,0.9358528099669237
measurement_conditioned_hybrid,exact_marginal_affine,none,exact_labels,4,64,4032,96,6144,0.8550414424178939,,0.04734685870275267,0.059348285315982234,-0.00035658748813382276,0.9542709251979368
measurement_conditioned_hybrid,exact_marginal_affine,none,exact_labels,4,64,4032,128,8192,0.8860204840849628,,0.04229836615884066,0.053518740821940435,0.002005708789132977,0.9629429716324949
marginal_only_prior,summary_ridge,none,exact_labels,4,64,4032,0,0,0.0,,0.09769151327861954,0.11983189065095251,-0.002485776957797858,0.8002379944025372
measurement_conditioned_hybrid,summary_ridge,none,exact_labels,4,64,4032,4,256,0.1470686255164763,,0.09084466502571356,0.1124889454375648,-0.002146223406656372,0.8248791755036848
measurement_conditioned_hybrid,summary_ridge,none,exact_labels,4,64,4032,8,512,0.17126889209661023,,0.08666831350545363,0.10709067614837772,-0.00241954946234512,0.8449137445796858
measurement_conditioned_hybrid,summary_ridge,none,exact_labels,4,64,4032,16,1024,0.36532594032398985,,0.07808188353464095,0.0965479112082867,-0.00200473520756458,0.8739086430801971
measurement_conditioned_hybrid,summary_ridge,none,exact_labels,4,64,4032,32,2048,0.4822837099281791,,0.06667330723904914,0.0826250277033416,-0.0008190605602786279,0.9099938085886863
measurement_conditioned_hybrid,summary_ridge,none,exact_labels,4,64,4032,48,3072,0.6583446452067098,,0.05858498092223023,0.07296544864502788,-0.002394483404862342,0.9297486295597477
measurement_conditioned_hybrid,summary_ridge,none,exact_labels,4,64,4032,64,4096,0.7303059470341777,,0.05367643880772582,0.06727947504403528,-0.0006807741959753755,0.940546612760968
measurement_conditioned_hybrid,summary_ridge,none,exact_labels,4,64,4032,96,6144,0.7910268535614513,,0.0461371097820639,0.05752270920152954,-0.001991884217435398,0.9569478407820562
measurement_conditioned_hybrid,summary_ridge,none,exact_labels,4,64,4032,128,8192,0.8776299048877797,,0.041825592673311665,0.052749533771776956,0.0007206626098644507,0.9640669834387704
marginal_only_prior,bidir_affine,bidir_seed0,exact_labels,4,64,4032,0,0,0.0,,0.08901567348549776,0.1166481543547977,0.01846162564269483,0.8161332729456378
measurement_conditioned_hybrid,bidir_affine,bidir_seed0,exact_labels,4,64,4032,4,256,0.12287353700212081,,0.0845909339134017,0.10976210851865428,0.016171435876764503,0.8380677607224631
measurement_conditioned_hybrid,bidir_affine,bidir_seed0,exact_labels,4,64,4032,8,512,0.17033032223859318,,0.08020184046431642,0.10433107880490866,0.014959512370154658,0.8557746050243543
measurement_conditioned_hybrid,bidir_affine,bidir_seed0,exact_labels,4,64,4032,16,1024,0.3118705811404242,,0.073746368356386,0.09453113235763909,0.012339401599232525,0.8823471605109635
measurement_conditioned_hybrid,bidir_affine,bidir_seed0,exact_labels,4,64,4032,32,2048,0.41885781229629504,,0.06465575235200079,0.08266063230432433,0.011135166289791486,0.9123096555158229
measurement_conditioned_hybrid,bidir_affine,bidir_seed0,exact_labels,4,64,4032,48,3072,0.6116682664292113,,0.05735132938510582,0.07196806718059588,0.005733585083467691,0.9322109491754136
measurement_conditioned_hybrid,bidir_affine,bidir_seed0,exact_labels,4,64,4032,64,4096,0.6879143310719064,,0.053163433141584546,0.06674232335967782,0.0057518360820647185,0.9420495617022375
measurement_conditioned_hybrid,bidir_affine,bidir_seed0,exact_labels,4,64,4032,96,6144,0.7848260276820154,,0.04565439816281482,0.05709379392488353,0.002511580005659799,0.9576451656412869
measurement_conditioned_hybrid,bidir_affine,bidir_seed0,exact_labels,4,64,4032,128,8192,0.8258545067281292,,0.041210301360397085,0.05207603787992188,0.004179395847517907,0.9650444149282111
