split,path,n,dim,mae_F_e,max_abs_err_F_e,latency_ms_per_seq_median,latency_ms_per_seq_min,repeats
id_test,data/benchmarks/single_qubit_mixed/id_test.npz,1024,2,1.7032151741443787e-08,6.624473725125313e-08,0.14999741324572824,0.149547550790885,5
length_ood,data/benchmarks/single_qubit_mixed/length_ood.npz,1024,2,1.5927808841764615e-08,6.679813602250562e-08,0.39528012166556437,0.3929607000827673,5
id_test,data/benchmarks/two_qubit_mixed/id_test.npz,1024,4,8.492763032008643e-09,1.1298748214816356e-07,0.6554047995450674,0.6545159203596995,5
length_ood,data/benchmarks/two_qubit_mixed/length_ood.npz,1024,4,7.854979463469975e-09,5.492072352453192e-08,0.8563111014154856,0.8562008169974433,5
id_test,data_prxq/collision/id_test.npz,1024,2,0.03969854382079484,0.27342168276273937,0.4295404323784169,0.4285011655156268,5
length_ood,data_prxq/collision/length_ood.npz,1024,2,0.11173455848994954,0.28929765126461704,0.6300248323896085,0.628903655524482,5
family_ood,data_prxq/collision/family_ood.npz,1024,2,0.44195361573890485,0.8113309552503494,0.49690495325194206,0.49564150685910136,5
